TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
0,100,nan,nan,nan,nan,0
0,100,nan,nan,nan,nan,0.013856
0,100,nan,nan,nan,nan,0.027713
0,100,nan,nan,nan,nan,0.041569
0,100,nan,nan,nan,nan,0.055426
0,100,nan,nan,nan,nan,0.069282
0,100,nan,nan,nan,nan,0.083139
0,100,nan,nan,nan,nan,0.096995
0,100,nan,nan,nan,nan,0.11085
0,100,nan,nan,nan,nan,0.12471
0,100,nan,nan,nan,nan,0.13856
0,100,nan,nan,nan,nan,0.15242
0,100,nan,nan,nan,nan,0.16628
0,100,nan,nan,nan,nan,0.18013
0,100,nan,nan,nan,nan,0.19399
0,100,nan,nan,nan,nan,0.20785
0,100,nan,nan,nan,nan,0.2217
0,100,nan,nan,nan,nan,0.23556
0,100,nan,nan,nan,nan,0.24942
0,100,nan,nan,nan,nan,0.26327
0,100,nan,nan,nan,nan,0.27713
0,100,nan,nan,nan,nan,0.29098
0,100,nan,nan,nan,nan,0.30484
0,100,nan,nan,nan,nan,0.3187
0,100,nan,nan,nan,nan,0.33255
0,100,nan,nan,nan,nan,0.34641
0,100,nan,nan,nan,nan,0.36027
0,100,nan,nan,nan,nan,0.37412
0,100,nan,nan,nan,nan,0.38798
0,100,nan,nan,nan,nan,0.40184
0,100,nan,nan,nan,nan,0.41569
0,100,nan,nan,nan,nan,0.42955
0,100,nan,nan,nan,nan,0.44341
0,100,nan,nan,nan,nan,0.45726
0,100,nan,nan,nan,nan,0.47112
0,100,nan,nan,nan,nan,0.48497
0,100,nan,nan,nan,nan,0.49883
0,100,nan,nan,nan,nan,0.51269
0,100,nan,nan,nan,nan,0.52654
0,100,nan,nan,nan,nan,0.5404
0,100,nan,nan,nan,nan,0.55426
0,100,nan,nan,nan,nan,0.56811
0,100,nan,nan,nan,nan,0.58197
0,100,nan,nan,nan,nan,0.59583
0,100,nan,nan,nan,nan,0.60968
0,100,nan,nan,nan,nan,0.62354
0,100,nan,nan,nan,nan,0.63739
0,100,nan,nan,nan,nan,0.65125
0,100,nan,nan,nan,nan,0.66511
0,100,nan,nan,nan,nan,0.67896
0,100,nan,nan,nan,nan,0.69282
0,100,nan,nan,nan,nan,0.70668
0,100,nan,nan,nan,nan,0.72053
0,100,nan,nan,nan,nan,0.73439
0,100,nan,nan,nan,nan,0.74825
0,100,nan,nan,nan,nan,0.7621
0,100,nan,nan,nan,nan,0.77596
0,100,nan,nan,nan,nan,0.78982
0,100,nan,nan,nan,nan,0.80367
0,100,nan,nan,nan,nan,0.81753
0,100,nan,nan,nan,nan,0.83138
0,100,nan,nan,nan,nan,0.84524
0,100,nan,nan,nan,nan,0.8591
0,100,nan,nan,nan,nan,0.87295
0,100,nan,nan,nan,nan,0.88681
0,100,nan,nan,nan,nan,0.90067
0,100,nan,nan,nan,nan,0.91452
0,100,nan,nan,nan,nan,0.92838
0,100,nan,nan,nan,nan,0.94224
0,100,nan,nan,nan,nan,0.95609
0,100,nan,nan,nan,nan,0.96995
0,100,nan,nan,nan,nan,0.98381
0,100,nan,nan,nan,nan,0.99766
0,100,nan,nan,nan,nan,1.0115
0,100,nan,nan,nan,nan,1.0254
0,100,nan,nan,nan,nan,1.0392
0,100,nan,nan,nan,nan,1.0531
0,100,nan,nan,nan,nan,1.0669
0,100,nan,nan,nan,nan,1.0808
0,100,nan,nan,nan,nan,1.0947
0,100,nan,nan,nan,nan,1.1085
0,100,nan,nan,nan,nan,1.1224
0,100,nan,nan,nan,nan,1.1362
0,100,nan,nan,nan,nan,1.1501
0,100,nan,nan,nan,nan,1.1639
0,100,nan,nan,nan,nan,1.1778
0,100,nan,nan,nan,nan,1.1917
0,100,nan,nan,nan,nan,1.2055
0,100,nan,nan,nan,nan,1.2194
0,100,nan,nan,nan,nan,1.2332
0,100,nan,nan,nan,nan,1.2471
0,100,nan,nan,nan,nan,1.2609
0,100,nan,nan,nan,nan,1.2748
0,100,nan,nan,nan,nan,1.2886
0,100,nan,nan,nan,nan,1.3025
0,100,nan,nan,nan,nan,1.3164
0,100,nan,nan,nan,nan,1.3302
0,100,nan,nan,nan,nan,1.3441
0,100,nan,nan,nan,nan,1.3579
0,100,nan,nan,nan,nan,1.3718
0,100,nan,nan,nan,nan,1.3856
