TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,2.0923
2,300,nan,nan,nan,nan,2.1062
2,300,nan,nan,nan,nan,2.12
2,300,nan,nan,nan,nan,2.1339
2,300,nan,nan,nan,nan,2.1477
2,300,nan,nan,nan,nan,2.1616
2,300,nan,nan,nan,nan,2.1755
2,300,nan,nan,nan,nan,2.1893
2,300,nan,nan,nan,nan,2.2032
2,300,nan,nan,nan,nan,2.217
2,300,nan,nan,nan,nan,2.2309
2,300,nan,nan,nan,nan,2.2447
2,300,nan,nan,nan,nan,2.2586
2,300,nan,nan,nan,nan,2.2725
2,300,nan,nan,nan,nan,2.2863
2,300,nan,nan,nan,nan,2.3002
2,300,nan,nan,nan,nan,2.314
2,300,nan,nan,nan,nan,2.3279
2,300,nan,nan,nan,nan,2.3417
2,300,nan,nan,nan,nan,2.3556
2,300,nan,nan,nan,nan,2.3694
2,300,nan,nan,nan,nan,2.3833
2,300,nan,nan,nan,nan,2.3972
2,300,nan,nan,nan,nan,2.411
2,300,nan,nan,nan,nan,2.4249
2,300,nan,nan,nan,nan,2.4387
2,300,nan,nan,nan,nan,2.4526
2,300,nan,nan,nan,nan,2.4664
2,300,nan,nan,nan,nan,2.4803
2,300,nan,nan,nan,nan,2.4942
2,300,nan,nan,nan,nan,2.508
2,300,nan,nan,nan,nan,2.5219
2,300,nan,nan,nan,nan,2.5357
2,300,nan,nan,nan,nan,2.5496
2,300,nan,nan,nan,nan,2.5634
2,300,nan,nan,nan,nan,2.5773
2,300,nan,nan,nan,nan,2.5911
2,300,nan,nan,nan,nan,2.605
2,300,nan,nan,nan,nan,2.6189
2,300,nan,nan,nan,nan,2.6327
2,300,nan,nan,nan,nan,2.6466
2,300,nan,nan,nan,nan,2.6604
2,300,nan,nan,nan,nan,2.6743
2,300,nan,nan,nan,nan,2.6881
2,300,nan,nan,nan,nan,2.702
2,300,nan,nan,nan,nan,2.7159
2,300,nan,nan,nan,nan,2.7297
2,300,nan,nan,nan,nan,2.7436
2,300,nan,nan,nan,nan,2.7574
2,300,nan,nan,nan,nan,2.7713
2,300,nan,nan,nan,nan,2.7851
2,300,nan,nan,nan,nan,2.799
2,300,nan,nan,nan,nan,2.8129
