TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
3,400,nan,nan,nan,nan,0
3,400,nan,nan,nan,nan,0.013856
3,400,nan,nan,nan,nan,0.027713
3,400,nan,nan,nan,nan,0.041569
3,400,nan,nan,nan,nan,0.055426
3,400,nan,nan,nan,nan,0.069282
3,400,nan,nan,nan,nan,0.083139
3,400,nan,nan,nan,nan,0.096995
3,400,nan,nan,nan,nan,0.11085
3,400,nan,nan,nan,nan,0.12471
3,400,nan,nan,nan,nan,0.13856
3,400,nan,nan,nan,nan,0.15242
3,400,nan,nan,nan,nan,0.16628
3,400,nan,nan,nan,nan,0.18013
3,400,nan,nan,nan,nan,0.19399
3,400,nan,nan,nan,nan,0.20785
3,400,nan,nan,nan,nan,0.2217
3,400,nan,nan,nan,nan,0.23556
3,400,nan,nan,nan,nan,0.24942
3,400,nan,nan,nan,nan,0.26327
3,400,nan,nan,nan,nan,0.27713
3,400,nan,nan,nan,nan,0.29098
3,400,nan,nan,nan,nan,0.30484
3,400,nan,nan,nan,nan,0.3187
3,400,nan,nan,nan,nan,0.33255
3,400,nan,nan,nan,nan,0.34641
3,400,nan,nan,nan,nan,0.36027
3,400,nan,nan,nan,nan,0.37412
3,400,nan,nan,nan,nan,0.38798
3,400,nan,nan,nan,nan,0.40184
3,400,nan,nan,nan,nan,0.41569
3,400,nan,nan,nan,nan,0.42955
3,400,nan,nan,nan,nan,0.44341
3,400,nan,nan,nan,nan,0.45726
3,400,nan,nan,nan,nan,0.47112
3,400,nan,nan,nan,nan,0.48497
3,400,nan,nan,nan,nan,0.49883
3,400,nan,nan,nan,nan,0.51269
3,400,nan,nan,nan,nan,0.52654
3,400,nan,nan,nan,nan,0.5404
3,400,nan,nan,nan,nan,0.55426
3,400,nan,nan,nan,nan,0.56811
3,400,nan,nan,nan,nan,0.58197
3,400,nan,nan,nan,nan,0.59583
3,400,nan,nan,nan,nan,0.60968
3,400,nan,nan,nan,nan,0.62354
3,400,nan,nan,nan,nan,0.63739
3,400,nan,nan,nan,nan,0.65125
3,400,nan,nan,nan,nan,0.66511
3,400,nan,nan,nan,nan,0.67896
3,400,nan,nan,nan,nan,0.69282
3,400,nan,nan,nan,nan,0.70668
3,400,nan,nan,nan,nan,0.72053
3,400,nan,nan,nan,nan,0.73439
3,400,nan,nan,nan,nan,0.74825
3,400,nan,nan,nan,nan,0.7621
3,400,nan,nan,nan,nan,0.77596
3,400,nan,nan,nan,nan,0.78982
3,400,nan,nan,nan,nan,0.80367
3,400,nan,nan,nan,nan,0.81753
3,400,nan,nan,nan,nan,0.83138
3,400,nan,nan,nan,nan,0.84524
3,400,nan,nan,nan,nan,0.8591
3,400,nan,nan,nan,nan,0.87295
3,400,nan,nan,nan,nan,0.88681
3,400,nan,nan,nan,nan,0.90067
3,400,nan,nan,nan,nan,0.91452
3,400,nan,nan,nan,nan,0.92838
3,400,nan,nan,nan,nan,0.94224
3,400,nan,nan,nan,nan,0.95609
3,400,nan,nan,nan,nan,0.96995
3,400,nan,nan,nan,nan,0.98381
3,400,nan,nan,nan,nan,0.99766
3,400,nan,nan,nan,nan,1.0115
3,400,nan,nan,nan,nan,1.0254
3,400,nan,nan,nan,nan,1.0392
3,400,nan,nan,nan,nan,1.0531
3,400,nan,nan,nan,nan,1.0669
3,400,nan,nan,nan,nan,1.0808
3,400,nan,nan,nan,nan,1.0947
3,400,nan,nan,nan,nan,1.1085
3,400,nan,nan,nan,nan,1.1224
3,400,nan,nan,nan,nan,1.1362
3,400,nan,nan,nan,nan,1.1501
3,400,nan,nan,nan,nan,1.1639
3,400,nan,nan,nan,nan,1.1778
3,400,nan,nan,nan,nan,1.1917
3,400,nan,nan,nan,nan,1.2055
3,400,nan,nan,nan,nan,1.2194
3,400,nan,nan,nan,nan,1.2332
3,400,nan,nan,nan,nan,1.2471
