TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
4,500,nan,nan,nan,nan,0
4,500,nan,nan,nan,nan,0.013856
4,500,nan,nan,nan,nan,0.027713
4,500,nan,nan,nan,nan,0.041569
4,500,nan,nan,nan,nan,0.055426
4,500,nan,nan,nan,nan,0.069282
4,500,nan,nan,nan,nan,0.083139
4,500,nan,nan,nan,nan,0.096995
4,500,nan,nan,nan,nan,0.11085
4,500,nan,nan,nan,nan,0.12471
4,500,nan,nan,nan,nan,0.13856
4,500,nan,nan,nan,nan,0.15242
4,500,nan,nan,nan,nan,0.16628
4,500,nan,nan,nan,nan,0.18013
4,500,nan,nan,nan,nan,0.19399
4,500,nan,nan,nan,nan,0.20785
4,500,nan,nan,nan,nan,0.2217
4,500,nan,nan,nan,nan,0.23556
4,500,nan,nan,nan,nan,0.24942
4,500,nan,nan,nan,nan,0.26327
4,500,nan,nan,nan,nan,0.27713
4,500,nan,nan,nan,nan,0.29098
4,500,nan,nan,nan,nan,0.30484
4,500,nan,nan,nan,nan,0.3187
4,500,nan,nan,nan,nan,0.33255
4,500,nan,nan,nan,nan,0.34641
4,500,nan,nan,nan,nan,0.36027
4,500,nan,nan,nan,nan,0.37412
4,500,nan,nan,nan,nan,0.38798
4,500,nan,nan,nan,nan,0.40184
4,500,nan,nan,nan,nan,0.41569
4,500,nan,nan,nan,nan,0.42955
4,500,nan,nan,nan,nan,0.44341
4,500,nan,nan,nan,nan,0.45726
4,500,nan,nan,nan,nan,0.47112
4,500,nan,nan,nan,nan,0.48497
4,500,nan,nan,nan,nan,0.49883
4,500,nan,nan,nan,nan,0.51269
4,500,nan,nan,nan,nan,0.52654
4,500,nan,nan,nan,nan,0.5404
4,500,nan,nan,nan,nan,0.55426
4,500,nan,nan,nan,nan,0.56811
4,500,nan,nan,nan,nan,0.58197
4,500,nan,nan,nan,nan,0.59583
4,500,nan,nan,nan,nan,0.60968
4,500,nan,nan,nan,nan,0.62354
4,500,nan,nan,nan,nan,0.63739
4,500,nan,nan,nan,nan,0.65125
4,500,nan,nan,nan,nan,0.66511
4,500,nan,nan,nan,nan,0.67896
4,500,nan,nan,nan,nan,0.69282
4,500,nan,nan,nan,nan,0.70668
4,500,nan,nan,nan,nan,0.72053
4,500,nan,nan,nan,nan,0.73439
4,500,nan,nan,nan,nan,0.74825
4,500,nan,nan,nan,nan,0.7621
4,500,nan,nan,nan,nan,0.77596
4,500,nan,nan,nan,nan,0.78982
4,500,nan,nan,nan,nan,0.80367
4,500,nan,nan,nan,nan,0.81753
4,500,nan,nan,nan,nan,0.83138
4,500,nan,nan,nan,nan,0.84524
4,500,nan,nan,nan,nan,0.8591
4,500,nan,nan,nan,nan,0.87295
4,500,nan,nan,nan,nan,0.88681
4,500,nan,nan,nan,nan,0.90067
4,500,nan,nan,nan,nan,0.91452
4,500,nan,nan,nan,nan,0.92838
4,500,nan,nan,nan,nan,0.94224
4,500,nan,nan,nan,nan,0.95609
4,500,nan,nan,nan,nan,0.96995
4,500,nan,nan,nan,nan,0.98381
4,500,nan,nan,nan,nan,0.99766
4,500,nan,nan,nan,nan,1.0115
4,500,nan,nan,nan,nan,1.0254
4,500,nan,nan,nan,nan,1.0392
4,500,nan,nan,nan,nan,1.0531
4,500,nan,nan,nan,nan,1.0669
4,500,nan,nan,nan,nan,1.0808
4,500,nan,nan,nan,nan,1.0947
4,500,nan,nan,nan,nan,1.1085
4,500,nan,nan,nan,nan,1.1224
4,500,nan,nan,nan,nan,1.1362
4,500,nan,nan,nan,nan,1.1501
4,500,nan,nan,nan,nan,1.1639
4,500,nan,nan,nan,nan,1.1778
4,500,nan,nan,nan,nan,1.1917
4,500,nan,nan,nan,nan,1.2055
4,500,nan,nan,nan,nan,1.2194
4,500,nan,nan,nan,nan,1.2332
4,500,nan,nan,nan,nan,1.2471
4,500,nan,nan,nan,nan,1.2609
4,500,nan,nan,nan,nan,1.2748
4,500,nan,nan,nan,nan,1.2886
4,500,nan,nan,nan,nan,1.3025
4,500,nan,nan,nan,nan,1.3164
4,500,nan,nan,nan,nan,1.3302
4,500,nan,nan,nan,nan,1.3441
4,500,nan,nan,nan,nan,1.3579
4,500,nan,nan,nan,nan,1.3718
4,500,nan,nan,nan,nan,1.3856
4,500,nan,nan,nan,nan,1.3995
4,500,nan,nan,nan,nan,1.4134
4,500,nan,nan,nan,nan,1.4272
4,500,nan,nan,nan,nan,1.4411
4,500,nan,nan,nan,nan,1.4549
4,500,nan,nan,nan,nan,1.4688
4,500,nan,nan,nan,nan,1.4826
4,500,nan,nan,nan,nan,1.4965
4,500,nan,nan,nan,nan,1.5103
4,500,nan,nan,nan,nan,1.5242
4,500,nan,nan,nan,nan,1.5381
4,500,nan,nan,nan,nan,1.5519
4,500,nan,nan,nan,nan,1.5658
4,500,nan,nan,nan,nan,1.5796
4,500,nan,nan,nan,nan,1.5935
4,500,nan,nan,nan,nan,1.6073
4,500,nan,nan,nan,nan,1.6212
4,500,nan,nan,nan,nan,1.6351
4,500,nan,nan,nan,nan,1.6489
4,500,nan,nan,nan,nan,1.6628
4,500,nan,nan,nan,nan,1.6766
4,500,nan,nan,nan,nan,1.6905
4,500,nan,nan,nan,nan,1.7043
