TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
1,200,nan,nan,nan,nan,0
1,200,nan,nan,nan,nan,0.013856
1,200,nan,nan,nan,nan,0.027713
1,200,nan,nan,nan,nan,0.041569
1,200,nan,nan,nan,nan,0.055426
1,200,nan,nan,nan,nan,0.069282
1,200,nan,nan,nan,nan,0.083139
1,200,nan,nan,nan,nan,0.096995
1,200,nan,nan,nan,nan,0.11085
1,200,nan,nan,nan,nan,0.12471
1,200,nan,nan,nan,nan,0.13856
1,200,nan,nan,nan,nan,0.15242
1,200,nan,nan,nan,nan,0.16628
1,200,nan,nan,nan,nan,0.18013
1,200,nan,nan,nan,nan,0.19399
1,200,nan,nan,nan,nan,0.20785
1,200,nan,nan,nan,nan,0.2217
1,200,nan,nan,nan,nan,0.23556
1,200,nan,nan,nan,nan,0.24942
1,200,nan,nan,nan,nan,0.26327
1,200,nan,nan,nan,nan,0.27713
1,200,nan,nan,nan,nan,0.29098
1,200,nan,nan,nan,nan,0.30484
1,200,nan,nan,nan,nan,0.3187
1,200,nan,nan,nan,nan,0.33255
1,200,nan,nan,nan,nan,0.34641
1,200,nan,nan,nan,nan,0.36027
1,200,nan,nan,nan,nan,0.37412
1,200,nan,nan,nan,nan,0.38798
1,200,nan,nan,nan,nan,0.40184
1,200,nan,nan,nan,nan,0.41569
1,200,nan,nan,nan,nan,0.42955
1,200,nan,nan,nan,nan,0.44341
1,200,nan,nan,nan,nan,0.45726
1,200,nan,nan,nan,nan,0.47112
1,200,nan,nan,nan,nan,0.48497
1,200,nan,nan,nan,nan,0.49883
1,200,nan,nan,nan,nan,0.51269
1,200,nan,nan,nan,nan,0.52654
1,200,nan,nan,nan,nan,0.5404
1,200,nan,nan,nan,nan,0.55426
1,200,nan,nan,nan,nan,0.56811
1,200,nan,nan,nan,nan,0.58197
1,200,nan,nan,nan,nan,0.59583
1,200,nan,nan,nan,nan,0.60968
1,200,nan,nan,nan,nan,0.62354
1,200,nan,nan,nan,nan,0.63739
1,200,nan,nan,nan,nan,0.65125
1,200,nan,nan,nan,nan,0.66511
1,200,nan,nan,nan,nan,0.67896
1,200,nan,nan,nan,nan,0.69282
1,200,nan,nan,nan,nan,0.70668
1,200,nan,nan,nan,nan,0.72053
1,200,nan,nan,nan,nan,0.73439
1,200,nan,nan,nan,nan,0.74825
1,200,nan,nan,nan,nan,0.7621
1,200,nan,nan,nan,nan,0.77596
1,200,nan,nan,nan,nan,0.78982
1,200,nan,nan,nan,nan,0.80367
1,200,nan,nan,nan,nan,0.81753
1,200,nan,nan,nan,nan,0.83138
1,200,nan,nan,nan,nan,0.84524
1,200,nan,nan,nan,nan,0.8591
1,200,nan,nan,nan,nan,0.87295
1,200,nan,nan,nan,nan,0.88681
1,200,nan,nan,nan,nan,0.90067
1,200,nan,nan,nan,nan,0.91452
1,200,nan,nan,nan,nan,0.92838
1,200,nan,nan,nan,nan,0.94224
1,200,nan,nan,nan,nan,0.95609
1,200,nan,nan,nan,nan,0.96995
1,200,nan,nan,nan,nan,0.98381
1,200,nan,nan,nan,nan,0.99766
1,200,nan,nan,nan,nan,1.0115
1,200,nan,nan,nan,nan,1.0254
1,200,nan,nan,nan,nan,1.0392
1,200,nan,nan,nan,nan,1.0531
1,200,nan,nan,nan,nan,1.0669
1,200,nan,nan,nan,nan,1.0808
1,200,nan,nan,nan,nan,1.0947
1,200,nan,nan,nan,nan,1.1085
1,200,nan,nan,nan,nan,1.1224
1,200,nan,nan,nan,nan,1.1362
1,200,nan,nan,nan,nan,1.1501
1,200,nan,nan,nan,nan,1.1639
1,200,nan,nan,nan,nan,1.1778
1,200,nan,nan,nan,nan,1.1917
1,200,nan,nan,nan,nan,1.2055
1,200,nan,nan,nan,nan,1.2194
